243,University of Chicago
244,Columbia College - Chicago
245,DePaul University
246,Eastern Illinois University
247,Elmhurst College
248,Governors State University
249,Rosalind Franklin University of Medicine and Science
250,University of Illinois - Chicago
251,Benedictine University
252,Illinois College of Optometry
253,University of Illinois - Urbana-Champaign
254,Illinois Wesleyan University
255,Illinois Institute of Technology
256,Illinois State University
257,Knox College
258,Lake Forest College
259,Loyola University Chicago
260,National University of Health Sciences
261,North Central College
262,Northern Illinois University
263,Northwestern University
264,Northeastern Illinois University
265,Olivet Nazarene University
266,Roosevelt University
267,Dominican University
268,Rush University
269,University of Illinois - Springfield
270,Southern Illinois University - Carbondale
271,Southern Illinois University - Edwardsville
272,Triton College
273,Western Illinois University
274,Wheaton College (IL)
275,Ball State University
276,Butler University
277,DePauw University
278,Earlham College
279,University of Evansville
280,Purdue University - Fort Wayne
281,Indiana University-Purdue University - Indianapolis
282,University of Southern Indiana
283,Indiana State University
284,Indiana University - Kokomo
285,Indiana University - South Bend
286,Indiana University - Bloomington
287,Indiana University - Northwest
288,Indiana University - Southeast
289,Indiana University - East
290,Manchester University
291,Indiana Wesleyan University
292,University of Notre Dame
293,Purdue University - Calumet
294,Purdue University - North Central
295,Rose-Hulman Institute of Technology
296,Taylor University
297,Valparaiso University
298,Wabash College
299,Central College (IA)
300,Coe College
301,Cornell College
302,Dordt University
303,Drake University
304,Grinnell College
305,Iowa State University
306,University of Iowa
307,Loras College
308,Luther College
309,Maharishi University of Management
310,University of Northern Iowa
311,Des Moines University-Osteopathic Medical Center
312,Palmer College of Chiropractic (IA)
313,Wartburg College
314,Benedictine College
315,Emporia State University
316,Fort Hays State University
317,Haskell Indian Nations University
318,University of Kansas - Lawrence
319,University of Kansas Medical Center
320,Kansas State University
321,Pittsburg State University
322,Washburn University
323,Wichita State University
324,Bellarmine University
325,Berea College
326,Centre College
327,Eastern Kentucky University
328,Kentucky State University
329,University of Kentucky
330,University of Louisville
331,Morehead State University
332,Murray State University
333,Northern Kentucky University
334,Spalding University
335,Western Kentucky University
336,Dillard University
337,Grambling State University
338,Louisiana State University Health Sciences Ctr - New Orleans
339,Louisiana State University - Baton Rouge
340,Louisiana State University - Shreveport
341,Louisiana Tech University
342,Loyola University - New Orleans
343,McNeese State University
344,University of New Orleans
345,Nicholls State University
346,University of Louisiana - Monroe
347,Northwestern State University of Louisiana
348,Southeastern Louisiana University
349,Southern University and A&M College
350,Southern University - New Orleans
351,University of Louisiana - Lafayette
352,Tulane University
353,Xavier University of Louisiana
354,Bates College
355,Bowdoin College
356,Colby College
357,University of Maine - Machias
358,University of Maine - Orono
359,Maine Maritime Academy
360,University of New England
361,Saint Joseph's College of Maine
362,University of Southern Maine
363,Unity College
364,University of Baltimore
365,Bowie State University
366,Capitol Technology University
367,Washington Adventist University
368,Coppin State University
369,Frostburg State University
370,Goucher College
371,Johns Hopkins University
372,Loyola University Maryland
373,University of Maryland - Baltimore
374,University of Maryland - Baltimore County
375,University of Maryland - College Park
376,Maryland Institute College of Art
377,University of Maryland - Eastern Shore
378,Morgan State University
379,Salisbury University
380,St. Mary's College of Maryland
381,Sojourner-Douglass College
382,Towson University
383,Maryland University of Integrative Health
384,Uniformed Services University of the Health Sciences
385,U.S. Naval Academy
386,McDaniel College
387,Hult International Business School
388,Amherst College
389,Babson College
390,Bentley University
391,Boston College
392,Boston University
393,Brandeis University
394,Bridgewater State University
395,Clark University (MA)
396,Emerson College
397,Emmanuel College (MA)
398,Fitchburg State University
399,Framingham State University
400,Gordon College (MA)
401,Hampshire College
402,Harvard University
403,College of the Holy Cross
404,Lesley University
405,University of Massachusetts - Lowell
406,Woods Hole Oceanographic Institution
407,University of Massachusetts - Amherst
408,University of Massachusetts - Boston
409,MCPHS University
410,University of Massachusetts - Central Office
411,Massachusetts Institute of Technology
412,University of Massachusetts Medical Sch - Worcester
413,Merrimack College
414,MGH Institute of Health Professions
415,Mount Holyoke College
416,New England College of Optometry
417,New England School of Acupuncture
418,Northeastern University
419,Radcliffe Institute for Advanced Study
420,Regis College
421,Simmons University
422,Smith College
423,University of Massachusetts - Dartmouth
424,Stonehill College
425,Suffolk University
426,Tufts University
427,Wellesley College
428,Wentworth Institute of Technology
429,Western New England University
430,Wheaton College (MA)
431,Williams College
432,Worcester Polytechnic Institute
433,Albion College
434,Alma College
435,Andrews University
436,Calvin University
437,Central Michigan University
438,University of Detroit Mercy
439,Eastern Michigan University
440,Ferris State University
441,Kettering University
442,Grand Valley State University
443,Hope College
444,Kalamazoo College
445,Lake Superior State University
446,Lawrence Technological University
447,University of Michigan - Ann Arbor
448,Michigan State University
449,Michigan Technological University
450,University of Michigan - Dearborn
451,University of Michigan - Flint
452,Northern Michigan University
453,Oakland University
454,Saginaw Valley State University
455,Wayne State University
456,Western Michigan University
457,Augsburg University
458,Bemidji State University
459,Carleton College
460,Concordia College at Moorhead
461,Gustavus Adolphus College
462,Hamline University
463,Macalester College
